kit_id,site,gwc_perc,gwc_flag
K012,Sediment,716,NA
K012,Wetland,80,NA
K013,Sediment,185,NA
K013,Wetland,300,NA
K013,Transition,78,NA
K013,Upland,25,NA
K036,Sediment,457,NA
K036,Wetland,387,NA
K036,Transition,449,NA
K036,Upland,286,NA
K042,Sediment,78,NA
K042,Wetland,303,NA
K042,Transition,436,NA
K042,Upland,20,NA
K048,Sediment,153,NA
K048,Wetland,167,NA
K048,Transition,199,NA
K048,Upland,33,NA
K049,Sediment,74,NA
K049,Wetland,74,NA
K049,Transition,20,NA
K049,Upland,0,NA
K045,Sediment,167,NA
K045,Wetland,592,NA
K045,Transition,544,NA
K045,Upland,162,NA
K025,Sediment,38,NA
K025,Wetland,150,NA
K025,Transition,173,NA
K025,Upland,22,NA
K027,Sediment,420,NA
K027,Wetland,797,NA
K027,Transition,26,NA
K027,Upland,33,NA
K014,Sediment,30,NA
K061,Sediment,180,NA
K004,Sediment,97,NA
K004,Wetland,302,NA
K004,Transition,110,NA
K004,Upland,44,NA
K020,Upland,41,NA
K016,Sediment,256,NA
K016,Wetland,329,NA
K016,Transition,41,NA
K016,Upland,119,NA
K023,Sediment,125,NA
K023,Wetland,605,NA
K023,Upland,48,NA
K035,Wetland,371,NA
K035,Sediment,174,NA
K035,Transition,256,NA
K035,Upland,16,NA
K052,Sediment,275,NA
K052,Transition,18,NA
K052,Upland,16,NA
K062,Sediment,452,NA
K062,Wetland,326,NA
K062,Transition,199,NA
K062,Upland,44,NA
K047,Sediment,622,NA
K047,Wetland,1363,NA
K047,Transition,62,NA
K047,Upland,68,NA
K053,Sediment,151,NA
K053,Wetland,379,NA
K053,Transition,69,NA
K053,Upland,18,NA
K033,Sediment,70,NA
K033,Wetland,230,NA
K033,Upland,36,NA
K039,Sediment,504,NA
K039,Wetland,895,NA
K039,Transition,651,NA
K039,Upland,58,NA
K059,Sediment,302,NA
K059,Wetland,786,NA
K059,Transition,572,NA
K059,Upland,183,NA
K054,Sediment,388,NA
K054,Wetland,389,NA
K054,Transition,247,NA
K054,Upland,16,NA
K017,Sediment,201,NA
K017,Wetland,494,NA
K017,Transition,85,NA
K017,Upland,8,NA
K034,Sediment,209,NA
K034,Wetland,259,NA
K034,Transition,416,NA
K034,Upland,48,NA
K010,Transition,71,NA
K018,Transition,58,NA
K019,Transition,34,NA
K050,Transition,66,NA
K061,Transition,36,NA
K011,Transition,30,NA
K015,Sediment,213,NA
K015,Wetland,223,NA
K015,Transition,71,NA
K015,Upland,34,NA
K021,Sediment,206,NA
K021,Wetland,305,NA
K021,Transition,270,NA
K021,Upland,27,NA
K022,Sediment,451,NA
K022,Wetland,181,NA
K022,Transition,353,NA
K022,Upland,58,NA
K026,Sediment,149,NA
K026,Wetland,160,NA
K026,Transition,54,NA
K026,Upland,10,NA
K030,Sediment,297,NA
K030,Wetland,170,NA
K030,Upland,81,NA
K018,Sediment,18,NA
K018,Wetland,37,NA
K018,Transition,55,NA
K018,Upland,87,NA
K037,Sediment,211,NA
K037,Wetland,265,NA
K041,Sediment,26,NA
K041,Wetland,23,NA
K041,Transition,782,NA
K041,Upland,100,NA
K044,Sediment,226,NA
K044,Wetland,179,NA
K044,Transition,527,NA
K044,Upland,32,NA
K019,Sediment,21,NA
K019,Wetland,12,NA
K019,Transition,59,NA
K050,Sediment,29,NA
K050,Wetland,400,NA
