date,kit_id,npoc_mgl,npoc_blank,npoc_flag,tn_flag,npoc_blank_flag,tn_blank_flag
20211012,K004,7.17,0.14,FALSE,FALSE,FALSE,FALSE
20211026,K008,2.97,0,FALSE,FALSE,Below LOD,FALSE
20211026,K009,7.03,0,FALSE,FALSE,Below LOD,FALSE
20211026,K010,7.2,0,FALSE,FALSE,Below LOD,FALSE
20211026,K011,3.28,0,FALSE,FALSE,Below LOD,FALSE
20211015,K012,14.75,0.26,FALSE,FALSE,FALSE,FALSE
20211015,K013,7.47,0.26,FALSE,FALSE,FALSE,FALSE
20211202,K014,4.26,0.11,FALSE,FALSE,FALSE,FALSE
20211012,K015,4.36,0.14,FALSE,FALSE,FALSE,FALSE
20211012,K016,4.92,0.14,FALSE,FALSE,FALSE,FALSE
20211012,K017,4.94,0.14,FALSE,FALSE,FALSE,FALSE
20211012,K018,3.03,0.14,FALSE,FALSE,FALSE,FALSE
20211012,K019,7.48,0.14,FALSE,FALSE,FALSE,FALSE
20211012,K020,1.67,0.14,FALSE,FALSE,FALSE,FALSE
20211012,K023,3.44,0.14,FALSE,FALSE,FALSE,FALSE
20211015,K024,7.37,0.26,FALSE,FALSE,FALSE,FALSE
20211012,K025,5.64,0.14,FALSE,FALSE,FALSE,FALSE
20211012,K026,6.19,0.14,FALSE,FALSE,FALSE,FALSE
20211026,K029,5.07,0,FALSE,FALSE,Below LOD,FALSE
20211015,K030,6.74,0.26,FALSE,FALSE,FALSE,FALSE
20211012,K033,4.11,0.14,FALSE,FALSE,FALSE,FALSE
20211026,K034,5.89,0,FALSE,FALSE,Below LOD,FALSE
20211012,K035,4.07,0.14,FALSE,FALSE,FALSE,FALSE
20211026,K036,4.04,0,FALSE,FALSE,Below LOD,FALSE
20211015,K038,4.24,0.26,FALSE,FALSE,FALSE,FALSE
20211012,K039,5.87,0.14,FALSE,FALSE,FALSE,FALSE
20211119,K040,2.92,0.08,FALSE,FALSE,FALSE,FALSE
20211026,K041,6.5,0,FALSE,FALSE,Below LOD,FALSE
20211026,K042,3.4,0,FALSE,FALSE,Below LOD,FALSE
20211119,K043,3.83,0.08,FALSE,FALSE,FALSE,FALSE
20211026,K044,6.85,0,FALSE,FALSE,Below LOD,FALSE
20211119,K045,8.39,0.08,FALSE,FALSE,FALSE,FALSE
20211015,K046,7.7,0.26,FALSE,FALSE,FALSE,FALSE
20211012,K047,4.7,0.14,FALSE,FALSE,FALSE,FALSE
20211026,K048,3.36,0,FALSE,FALSE,Below LOD,FALSE
20211026,K049,7.54,0,FALSE,FALSE,Below LOD,FALSE
20211015,K050,5,0.26,FALSE,FALSE,FALSE,FALSE
20211026,K051,8.37,0,FALSE,FALSE,Below LOD,FALSE
20211026,K052,7.03,0,FALSE,FALSE,Below LOD,FALSE
20211012,K053,4.33,0.14,FALSE,FALSE,FALSE,FALSE
20211026,K054,10.01,0,FALSE,FALSE,Below LOD,FALSE
20211026,K055,3.42,0,FALSE,FALSE,Below LOD,FALSE
20211026,K056,8.84,0,FALSE,FALSE,Below LOD,FALSE
20211202,K057,6.28,0.11,FALSE,FALSE,FALSE,FALSE
20211026,K058,6.43,0,FALSE,FALSE,Below LOD,FALSE
20211026,K059,6.14,0,FALSE,FALSE,Below LOD,FALSE
20211119,K060,3.48,0.08,FALSE,FALSE,FALSE,FALSE
20211026,K061,7.26,0,FALSE,FALSE,Below LOD,FALSE
20211026,K062,6.08,0,FALSE,FALSE,Below LOD,FALSE
