campaign,kit_id,transect_location,gwc_perc
EC1,K012,Sediment,716
EC1,K013,Sediment,185
EC1,K036,Sediment,457
EC1,K042,Sediment,78
EC1,K048,Sediment,153
EC1,K049,Sediment,74
EC1,K045,Sediment,167
EC1,K025,Sediment,38
EC1,K027,Sediment,420
EC1,K014,Sediment,30
EC1,K061,Sediment,180
EC1,K004,Sediment,97
EC1,K016,Sediment,256
EC1,K023,Sediment,125
EC1,K035,Sediment,174
EC1,K052,Sediment,275
EC1,K062,Sediment,452
EC1,K047,Sediment,622
EC1,K053,Sediment,151
EC1,K033,Sediment,70
EC1,K039,Sediment,504
EC1,K059,Sediment,302
EC1,K054,Sediment,388
EC1,K017,Sediment,201
EC1,K034,Sediment,209
EC1,K015,Sediment,213
EC1,K021,Sediment,206
EC1,K022,Sediment,451
EC1,K026,Sediment,149
EC1,K030,Sediment,297
EC1,K018,Sediment,18
EC1,K037,Sediment,211
EC1,K041,Sediment,26
EC1,K044,Sediment,226
EC1,K019,Sediment,21
EC1,K050,Sediment,29
EC1,K060,Sediment,164
EC1,K040,Sediment,40
EC1,K043,Sediment,15
EC1,K038,Sediment,115
EC1,K011,Sediment,129
EC1,K010,Sediment,170
EC1,K008,Sediment,67
EC1,K046,Sediment,259
EC1,K024,Sediment,127
EC1,K009,Sediment,116
