campaign,kit_id,transect_location,bulk_density_g_cm3
EC1,K027,Wetland,0.08272017837235231
EC1,K011,Wetland,0.4007692307692307
EC1,K017,Wetland,0.18249158249158248
EC1,K053,Wetland,0.2402922755741127
EC1,K039,Wetland,0.09527638190954774
EC1,K015,Wetland,0.22177246038479376
EC1,K033,Wetland,0.37151515151515146
EC1,K047,Wetland,0.05269993164730006
EC1,K019,Wetland,1.5644767139048492
EC1,K009,Transition,0.5474130351270227
EC1,K056,Transition,0.7118386156603869
EC1,K061,Transition,1.1418484844684496
EC1,K054,Transition,0.10288184438040346
EC1,K022,Wetland,0.3825622775800712
EC1,K059,Transition,0.1567247149085325
EC1,K052,Transition,1.6501374594732965
EC1,K051,Transition,0.232289156626506
EC1,K034,Transition,0.2170542635658915
EC1,K013,Transition,0.5949233136726912
EC1,K022,Transition,0.2262693156732892
EC1,K010,Transition,0.7549707602339182
EC1,K025,Transition,0.4058608058608059
EC1,K048,Transition,0.3526849662641118
EC1,K026,Transition,0.3845016033944153
EC1,K016,Transition,1.235608636576629
EC1,K045,Transition,0.17327808361318614
EC1,K018,Transition,0.9931889427224634
EC1,K049,Transition,1.3766666666666665
EC1,K062,Transition,0.377257525083612
EC1,K041,Transition,0.10212093991730568
EC1,K035,Transition,0.2719101123595506
EC1,K036,Transition,0.1912568306010929
EC1,K044,Transition,0.1576407229015425
EC1,K021,Transition,0.28189189189189184
EC1,K050,Transition,0.9210843373493977
EC1,K053,Transition,0.8266272189349112
EC1,K024,Transition,0.3560483870967742
EC1,K039,Transition,0.12982689747003995
EC1,K027,Transition,1.4912698412698415
EC1,K047,Transition,0.8623456790123456
EC1,K019,Transition,1.3174242424242424
EC1,K015,Transition,0.939766081871345
EC1,K017,Transition,0.7048648648648649
EC1,K058,Transition,0.28035714285714286
EC1,K033,Upland,0.5919367876447071
EC1,K027,Upland,1.4748702346642868
EC1,K015,Upland,0.9056465805097804
EC1,K047,Upland,0.3458333333333334
EC1,K053,Upland,0.9923728813559322
EC1,K019,Upland,0.48907436627904854
EC1,K039,Upland,0.6734177215189873
EC1,K049,Upland,1.7350000000000003
EC1,K020,Upland,0.6879432624113477
EC1,K016,Upland,0.14520547945205484
EC1,K023,Upland,0.4277027027027026
EC1,K051,Upland,1.3728813559322035
EC1,K036,Upland,0.20999438930218167
EC1,K045,Upland,0.34694656488549613
EC1,K042,Upland,0.6325303837573623
EC1,K048,Upland,0.6456555875106059
EC1,K035,Upland,0.8712842166967835
EC1,K054,Upland,0.5898000347302489
EC1,K034,Upland,0.9067567567567566
EC1,K062,Upland,0.7722222222222223
EC1,K030,Upland,0.17667998401482693
EC1,K061,Upland,1.1290328463432615
EC1,K041,Upland,0.10576737564467369
EC1,K046,Wetland,0.25905542750450267
EC1,K042,Wetland,0.21488833746898264
EC1,K046,Upland,0.7880685788872915
EC1,K024,Wetland,0.11475972540045767
EC1,K044,Wetland,0.33046594982078853
EC1,K036,Wetland,0.1946611909650924
EC1,K062,Wetland,0.24366197183098595
EC1,K030,Wetland,0.48404429371361424
EC1,K041,Wetland,1.4813008130081302
EC1,K025,Wetland,0.4655015123101817
EC1,K045,Wetland,0.1082369942196532
EC1,K035,Wetland,0.1851380042462845
EC1,K018,Wetland,1.489553422561312
EC1,K026,Upland,1.5527272727272727
EC1,K026,Wetland,0.5838742003914112
EC1,K049,Wetland,0.9488505747126434
EC1,K016,Wetland,0.2741258741258741
EC1,K058,Wetland,0.3565960355076129
EC1,K022,Upland,0.7240506329113923
EC1,K042,Transition,0.1861940298507463
EC1,K048,Wetland,0.43233170648046887
EC1,K029,Wetland,0.29404652113519536
EC1,K059,Upland,0.15437870917245358
EC1,K029,Transition,0.13157894736842105
EC1,K037,Wetland,0.2857534246575343
EC1,K059,Wetland,0.09578190172575685
EC1,K034,Wetland,0.3292479108635098
EC1,K009,Wetland,0.2291274358558784
EC1,K050,Wetland,0.2144
EC1,K008,Wetland,0.3552631578947368
EC1,K054,Wetland,0.20635269831304945
EC1,K010,Wetland,0.44542124542124545
EC1,K021,Wetland,0.22560556463835815
EC1,K012,Wetland,0.6905987468563988
EC1,K051,Wetland,0.796875
EC1,K061,Wetland,0.7015695464103812
EC1,K056,Wetland,0.20907034719678624
EC1,K038,Wetland,0.27593582887700535
EC1,K013,Wetland,0.23393254848469003
EC1,K023,Wetland,0.14190566544566985
EC1,K060,Wetland,0.4890726730577239
EC1,K040,Upland,0.1063157894736842
EC1,K040,Wetland,0.7467005076142134
EC1,K040,Transition,0.10841522784827665
